nom_scientifique,ID,nom_commun,autres_noms,id_famille,taille_adulte_₋,taille_adulte_₊,profondeur_habituelle_-,profondeur_habituelle₊,Colonne_d_eau,reglementation,danger,mode_de_vie,entrainement_modele,A_entrainer,Cotes_françaises,Mediterranée,Atlantique,Manche,Mer du Nord,Pêche_commerciale,IUCN_red_list,citation_ouvrages,citation_doris,lien_fiche_doris,Unnamed: 3,label,nb_images
Clinitrachus argentatus,486,Le cline argenté,,96,7.0,8,0.0,1.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Clupea harengus,4,Le hareng,,1,30.0,35,5.0,50.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Clupeonella cultriventris,2,La clupeonelle,,1,10.0,15,0.0,20.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Coelorinchus caelorhincus,300,Le grenadier à points noirs,,67,30.0,38,140.0,900.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Conger conger,494,Le congre,,100,150.0,200,5.0,100.0,Vivent sur le fond,,Morsure possible,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," SOHIER Sandra, PETIT DE VOIZE Patrice, JEGLOT Samuel in : DORIS, 13/09/2021 : Conger conger (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/610,,81,392.0
Corcyrogobius liechtensteini,412,Le gobie-corail nain,,85,2.5,2.8,5.0,20.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Coregonus albula,41,Le coregone blanc,,14,22.0,26,0.0,10.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Coregonus lavaretus,42,Le lavaret,,14,45.0,50,5.0,30.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Coris julis,239,La girelle,,53,20.0,25,1.0,60.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," CHEVALLIER Frédérik, LE GRANCHÉ Philippe in : DORIS, 08/11/2020 : Coris julis (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/651,,26,1251.0
Coryogalops ocheticus,423,Le gobie de Port-Saïd,,85,5.0,6.2,0.0,5.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Coryphaena hippurus,32,La grande coryphene,,10,100.0,130,2.0,30.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Coryphoblennius galerita,347,La blennie coiffée,,82,8.0,9,0.0,0.5,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," LEGER David, GUICHARD Benjamin, LE BRIS Sylvain in : DORIS, 11/05/2021 : Coryphoblennius galerita (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/3972,,50,311.0
Cottus gobio,378,Le chabot commun,,84,10.0,12,0.0,1.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," COROLLA Jean-Pierre, KUPFER Michel in : DORIS, 21/09/2017 : Cottus gobio Linnaeus, 1758",https://doris.ffessm.fr/ref/specie/241,,59,389.0
Cottus poecilopus,377,Le chabot de Sibérie,,84,10.0,16,0.0,3.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Crenidens crenidens,198,La saupe de mer rouge,,44,20.0,25,0.0,10.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Crystallogobius linearis,446,Le gobie cristal,,85,4.0,4.7,1.0,400.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Ctenolabrus rupestris,235,Le cténolabre,,53,12.0,15,5.0,20.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," ZIEMSKI Frédéric, BORG David in : DORIS, 15/01/2021 : Ctenolabrus rupestris (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/1592,,24,403.0
Cubiceps gracilis,95,Le dérivant brun,,21,30.0,60,0.0,3000.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Cyclichthys spilostylus,326,Le poisson hérisson à points jaunes,,77,25.0,30,5.0,30.0,près du fond,,Epines robustes et dents coupantes,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Cyclopterus lumpus,574,Le lompe,,122,40.0,50,20.0,150.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Cynoglossus sinusarabici,569,La sole-langue de mer rouge,,118,12.0,15,5.0,15.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Cynoponticus ferox,517,Le congre-brochet féroce,,105,50.0,60,10.0,100.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Dactylopterus volitans,458,Le grondin volant,,87,35.0,40,15.0,50.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Dagetichthys lusitanicus,566,La sole ruardon commune,,117,30.0,40,5.0,60.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Dalatias licha,616,Le squale liche,,133,150.0,180,300.0,700.0,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," GIRARD Pascal in : DORIS, 19/01/2021 : Dalatias licha Bonnaterre, 1788",https://doris.ffessm.fr/ref/specie/4911,,,
Dalophis imberbis,508,Le serpenton imberbe,,104,100.0,120,20.0,80.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Dasyatis marmorata,679,La pastenague marbrée,,147,30.0,75,1.0,100.0,Sur le fond,,Possède un ou plusieurs aiguillons venimeux sur la queue.,Plages et fonds meubles côtiers et zones plus ou moins rocheuses,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Dasyatis pastinaca,675,La pastenague commune,,147,50.0,60,5.0,60.0,Sur le fond,,Possède un ou plusieurs aiguillons venimeux sur la queue.,Fonds sablo-vaseux côtiers et substrats durs.,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," DIDIERLAURENT Sylvie, BABIN Sylvie in : DORIS, 21/06/2022 : Dasyatis pastinaca (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/745,,,
Dasyatis tortonesei,677,La pastenague de tortonese,,147,65.0,80,5.0,200.0,Sur le fond,,Possède un ou plusieurs aiguillons venimeux sur la queue.,Fonds meubles,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.","DORIS, 21/06/2022 : Dasyatis tortonesei Capapé, 1975",https://doris.ffessm.fr/ref/specie/5613,,,
Decapterus macarellus,71,La comète-maquereau,,20,25.0,35,20.0,200.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Decapterus punctatus,72,La comète kia-kia,,20,20.0,27,0.0,100.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Deltentosteus collonianus,431,Le gobie denté,,85,6.0,7,5.0,120.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Deltentosteus quadrimaculatus,430,Le gobie à 4 taches,,85,7.0,8,15.0,50.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Dentex canariensis,196,Le denté des Canaries,,44,50.0,100,20.0,200.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Dentex dentex,193,Le denté commun,,44,50.0,70,15.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," VIGNAUD Thomas, PERRIER Philippe, PASTOR Jérémy, PEAN Michel in : DORIS, 25/11/2022 : Dentex dentex (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/258,,10,462.0
Dentex gibbosus,194,Le denté bossu,,44,60.0,75,40.0,130.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Dentex macrophtalmus,197,Le denté à gros yeux,,44,30.0,65,50.0,150.0,près du fond, ,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Dentex maroccanus,195,Le denté du Maroc,,44,25.0,45,50.0,100.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Dicentrarchus labrax,98,Le bar commun,,23,70.0,80,1.0,30.0,loin du fond,,,,oui,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," MARAN Vincent, GRIOCHE Alain, ZIEMSKI Frédéric in : DORIS, 08/11/2020 : Dicentrarchus labrax (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/407,,100,603.0
Dicentrarchus punctatus,99,Le bar tacheté,,23,45.0,60,1.0,10.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Dicologlossa cuneata,565,Le céteau,,117,25.0,30,10.0,100.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Didogobius bentuvii,418,Le gobie nain de Ben-Tuvia,,85,3.7,3.7,37.0,37.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Didogobius kochi,419,Le gobie nain des Canaries,,85,5.0,5.7,5.0,20.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Didogobius schlieweni,420,Le gobie nain à taches blanches,,85,4.0,5,8.0,12.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Didogobius splechtnai,421,Le gobie nain à barres brunes,,85,3.0,3.5,4.0,18.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Diodon holocanthus,324,Le petit porc épic,,77,25.0,30,5.0,25.0,près du fond,,Epines robustes et dents coupantes,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Diodon hystrix,323,Le grand porc épic,,77,50.0,60,5.0,25.0,près du fond,,Epines robustes et dents coupantes,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Diplecogaster bimaculata,583,Le porte-ecuelle à 2 taches,,124,4.0,4.5,10.0,50.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Diplodus Bellottii,182,Le sparaillon africain,,44,15.0,20,10.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Diplodus annularis,180,Le sparaillon,,44,15.0,18,1.0,20.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," LAMARE Véronique, PASTOR Jérémy in : DORIS, 11/04/2021 : Diplodus annularis (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/487,,6,382.0
Diplodus cervinus,183,Le sar à grosses lèvres,,44,40.0,45,10.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," LAMARE Véronique, PASTOR Jérémy in : DORIS, 07/08/2022 : Diplodus cervinus (Lowe, 1838)",https://doris.ffessm.fr/ref/specie/471,,7,367.0
Diplodus fasciatus,181,Le sar tambour du cap vert,,44,25.0,40,2.0,30.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Diplodus prayensis,178,Le sar à tête noire du cap vert,,44,20.0,25,2.0,30.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Diplodus puntazzo,177,Le sar à museau pointu,,44,30.0,40,10.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," LAMARE Véronique, PASTOR Jérémy in : DORIS, 09/08/2022 : Diplodus puntazzo (Walbaum, 1792)",https://doris.ffessm.fr/ref/specie/477,,4,554.0
Diplodus sargus,176,Le sar commun,,44,20.0,30,1.0,40.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," LAMARE Véronique, PASTOR Jérémy in : DORIS, 23/01/2021 : Diplodus sargus (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/463,,3,1359.0
Diplodus vulgaris,179,Le sar à tête noire,,44,20.0,30,2.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," HUSSON Georges, CASTILLO Jean-Pierre, PASTOR Jérémy, LAMARE Véronique in : DORIS, 07/08/2022 : Diplodus vulgaris (Geoffroy Saint Hilaire, 1817)",https://doris.ffessm.fr/ref/specie/161,,5,1623.0
Dipturus batis,658,Le pocheteau gris,,146,120.0,150,100.0,200.0,Sur le fond,,,Plutôt sur fonds sablo-vaseux.,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Dipturus oxyrinchus,660,Le pocheteau noir,,146,120.0,130,90.0,1000.0,Sur le fond,,,Plutôt sur fonds sablo-vaseux.,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Dussumieria elopsoides,10,La sardine arc-en-ciel,,1,15.0,20,0.0,20.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Echelus myrus,512,Le serpenton miro,,104,80.0,100,30.0,190.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Echeneis naucrates,149,Le rémora rayé,,39,90.0,100,0.0,15.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Echiichthys vipera,483,La petite vive,,93,10.0,12,0.0,10.0,Vivent sur le fond,,"1ere nageoire dorsale venimeuse, piqure douloureuse",,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Echiodon dentatus,523,Le fierasfer denté,,109,15.0,17,80.0,500.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Echiodon drummondii,524,Le fierasfer atlantique,,109,25.0,30,150.0,270.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Elagatis bipinnulata,88,La carangue arc-en-ciel,,20,80.0,90,10.0,30.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Eleginus nawaga,295,La morue arctique,,52,30.0,45,5.0,30.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Enchelycore anatina,507,La murène des îles,,103,80.0,110,1.0,30.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Enchelyopus cimbrius,384,La motelle à 4 barbillons,,52,30.0,44,20.0,500.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Engraulis encrasicolus,9,L’anchois,,2,15.0,17,2.0,50.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Entelurus aequoreus,595,L’entélure,,32,30.0,50,1.0,20.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Ephippion guttifer,317,Le tétraodon à points blancs,,76,40.0,80,5.0,100.0,près du fond,,"Peau, foie et gonades extrêmement toxiques ( présence de tétraodontoxine)",,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Epigonus telescopus,273,Le sonneur commun,,63,50.0,60,75.0,1200.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Epinephelus aeneus,268,Le mérou blanc,,61,80.0,100,20.0,100.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Epinephelus caninus,265,Le mérou gris,,61,100.0,120,30.0,100.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Epinephelus coioides,270,Le mérou à tâches oranges,,61,70.0,80,5.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Epinephelus costae,266,La badèche,,61,70.0,100,10.0,100.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," GUICHARD Benjamin, PETIT DE VOIZE Patrice, PASTOR Jérémy, JEGLOT Samuel in : DORIS, 15/05/2022 : Epinephelus costae (Steindachner, 1878)",https://doris.ffessm.fr/ref/specie/494,,36,300.0
Epinephelus malabaricus,269,Le mérou de malabar,,61,80.0,100,10.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Epinephelus marginatus,263,Le mérou brun,,61,80.0,100,10.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," ANDRÉ Frédéric, PASTOR Jérémy, HARMELIN Jean-Georges, PEAN Michel in : DORIS, 02/12/2022 : Epinephelus marginatus (Lowe, 1834)",https://doris.ffessm.fr/ref/specie/474,,35,793.0
Equulites klunzingeri,212,Le sapsap de Mer Rouge,,49,8.0,12,0.0,10.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Esox lucius,174,Le brochet,,43,100.0,120,1.0,5.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Etmopterus spinax,615,Le sagre commun,,132,40.0,60,70.0,2000.0,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Etrumeus sadina,12,La sardine ronde,,1,15.0,25,0.0,20.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Euthynnus alletteratus,110,La thonite commune,,25,80.0,100,0.0,40.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Eutrigla gurnardus,462,Le grondin gris,,88,35.0,45,20.0,150.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Exocoetus obtusirostris,21,L’exocet-bouledogue,,4,18.0,24,0.0,5.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Exocoetus volitans,20,L’exocet commun,,4,20.0,23,0.0,5.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Facciolella oxyrhynchus,520,La sorcière de Facciola,,107,60.0,70,30.0,500.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Fistularia commersonii,313,Le poisson-flûte,,74,100.0,160,0.0,15.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Gadus morhua,293,La morue,,52,50.0,100,30.0,200.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," LESSARD Marie-Pierre, CHAMBERLAND Suzie, MASSON Stéphane, FEY Laurent in : DORIS, 01/04/2023 : Gadus morhua (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/867,,40,400.0
Gaidropsarus biscayensis,383,La motelle à grands yeusx de Mediterranée,,52,15.0,18,140.0,600.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Gaidropsarus macrophthalmus,382,La motelle à grands yeus de l’Atlantique,,52,20.0,35,100.0,500.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Gaidropsarus mediterraneus,380,La motelle à 3 barbillons,,52,25.0,30,1.0,25.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Gaidropsarus mediterraneus,381,La motelle à taches blanches,,52,20.0,25,0.0,5.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Gaidropsarus vulgaris,379,La motelle commune,,52,35.0,40,30.0,80.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Galeocerdo cuvier,630,Le requin tigre,,140,450.0,500,1.0,300.0,,,Mortel,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," MALIET Vincent, SITTLER Alain-Pierre, DE MADDALENA Alessandro, BURON Daniel in : DORIS, 19/01/2021 : Galeocerdo cuvier (Péron & Le Sueur, 1822)",https://doris.ffessm.fr/ref/specie/1666,,,
Galeoides decadactylus,282,Le petit capitaine,,65,30.0,35,5.0,20.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Galeorhinus galeus,607,Le requin Hâ,,127,120.0,150,10.0,300.0,Pres du fond ou en pleine eau,,,Vit sur les fonds sableaux-vaseux,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," VIEUX-INGRASSIA Jean-Vincent, JEGLOT Samuel in : DORIS, 18/11/2022 : Galeorhinus galeus Linnaeus, 1758",https://doris.ffessm.fr/ref/specie/4907,,,
Galeus melastomus,602,Le chien espagnol,,125,50.0,90,200.0,600.0,,,,Vit sur les fonds sablo-vaseux. Espece profonde.,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Gammogobius steinitzi,422,Le gobie cavernicole de Steinitz,,85,3.5,4,5.0,20.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Gasterosteus aculeatus,308,L’épinoche,,72,8.0,10,1.0,3.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," COROLLA Jean-Pierre, FEY Laurent, KUPFER Michel in : DORIS, 27/03/2021 : Gasterosteus aculeatus Linnaeus, 1758",https://doris.ffessm.fr/ref/specie/1449,,41,537.0
Ginglymostoma cirratum,603,Le requin-nourrice,,126,300.0,350,1.0,50.0,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," LE BRIS Sylvain, MALIET Vincent in : DORIS, 17/11/2020 : Ginglymostoma cirratum (Bonnaterre, 1788)",https://doris.ffessm.fr/ref/specie/3807,,,
Glaucostegus cemiculus,657,La raie requin,,145,180.0,200,5.0,50.0,Vit sur le fond,,,"Fréquente les fonds meubles, sableux ou vaseux, occasionnellement les herbiers ou à proximité des fonds rocheux.",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
